Evaluation,Fold,ResNet18,EfficientNetB0,DenseNet121,,,Parameters,
Accuracy,1,0.7783,0.7348,0.7576,,,Threshold,0.39
Precision,1,0.7254,0.6670,0.7092,,,Epochs,5
Recall,1,0.8957,0.9391,0.8696,,,Folds,5
F1,1,0.8016,0.7798,0.7812,,,Batch Size,128
ROC-AUC,1,0.8603,0.8553,0.8349,,,,
Accuracy,2,0.8000,0.7565,0.7391,,,,
Precision,2,0.7447,0.6879,0.6752,,,,
Recall,2,0.9130,0.9391,0.9217,,,,
F1,2,0.8203,0.7941,0.7794,,,,
ROC-AUC,2,0.8957,0.8804,0.8144,,,,
Accuracy,3,0.7913,0.7522,0.7000,,,,
Precision,3,0.7248,0.6835,0.6402,,,,
Recall,3,0.9391,0.9391,0.9130,,,,
F1,3,0.8182,0.7912,0.7527,,,,
ROC-AUC,3,0.8620,0.8439,0.7478,,,,
Accuracy,4,0.7913,0.7870,0.7826,,,,
Precision,4,0.7219,0.7230,0.7152,,,,
Recall,4,0.9478,0.9304,0.9391,,,,
F1,4,0.8195,0.8137,0.8120,,,,
ROC-AUC,4,0.8793,0.8729,0.8535,,,,
Accuracy,5,0.7696,0.7739,0.7391,,,,
Precision,5,0.6937,0.7086,0.6708,,,,
Recall,5,0.9652,0.9304,0.9391,,,,
F1,5,0.8073,0.8045,0.7826,,,,
ROC-AUC,5,0.8641,0.8695,0.7966,,,,
Accuracy,Average,0.7861,0.7609,0.7437,,,,
Precision,Average,0.7221,0.6940,0.6821,,,,
Recall,Average,0.9322,0.9356,0.9165,,,,
F1,Average,0.8134,0.7967,0.7816,,,,
ROC-AUC,Average,0.8723,0.8644,0.8094,,,,